,A,B,C,D,E,F,G,H
0,-0.002,0.004,-0.006,0.002,-0.381,0.045,-0.697,1932.1545105481491
1,0.005,0.004,-0.013,0.01,0.582,0.059,-0.374,1650.079423925752
2,0.001,0.01,-0.002,-0.009,0.083,0.044,-0.366,1505.3252839590277
3,-0.003,0.014,-0.001,-0.017,0.376,0.02,-0.064,1483.7562574691838
4,0.017,0.007,-0.004,0.018,-0.19,0.032,-0.31,1521.4176214791805
5,0.011,0.008,-0.018,0.027,0.486,0.057,0.064,1937.5122410479235
6,0.002,0.004,-0.004,0.001,-0.31,0.059,-0.255,2086.6735048371775
7,0.008,0.007,-0.022,0.027,0.321,0.088,-0.008,2794.45767264608
8,-0.007,0.0,-0.021,0.013,-0.029,0.101,0.026,3576.541110596867
9,-0.018,0.023,0.0,-0.036,0.367,0.063,0.515,3532.7901601693593
10,-0.016,0.032,-0.009,-0.022,0.041,0.038,0.552,3490.971211568496
11,-0.002,0.014,-0.01,0.008,-0.509,0.044,-0.184,3466.723616266361
12,0.002,0.015,-0.009,-0.001,0.089,0.04,-0.083,3470.377501079667
13,0.021,0.012,-0.012,0.014,0.061,0.053,0.015,3526.680263960792
14,-0.01,0.006,-0.009,-0.008,-0.025,0.043,0.029,3528.9932961413433
15,0.0,0.0,-0.028,0.023,-0.041,0.067,-0.005,3576.8872089098877
16,0.002,0.011,-0.007,0.003,0.254,0.069,0.318,3667.9229745686316
17,0.005,0.0,-0.027,0.031,0.216,0.103,0.688,4159.14161184353
18,0.001,0.003,-0.012,0.013,0.133,0.117,0.947,4648.766672887272
19,0.0,0.011,0.0,-0.011,0.183,0.103,1.313,4860.468246881923
20,0.002,0.014,-0.002,-0.009,-0.214,0.093,0.902,4885.779149197886
21,0.012,0.008,-0.004,0.006,0.062,0.097,1.022,4989.4186983423715
22,0.001,0.001,-0.007,0.003,-0.309,0.099,0.387,4959.53138703118
23,0.003,0.003,-0.011,0.003,-0.147,0.103,0.128,4617.666761015731
24,0.0,0.02,-0.002,-0.019,0.585,0.081,0.764,4269.354197435241
25,-0.002,0.01,-0.005,-0.011,0.217,0.066,1.011,4152.186995079246
26,0.01,0.011,-0.005,0.0,-0.199,0.062,0.6,4021.927267786974
27,0.0,0.01,-0.002,-0.001,-0.195,0.055,0.237,4020.654044725612
28,-0.016,0.003,-0.006,-0.011,0.007,0.037,0.208,4020.126209068825
29,0.0,0.018,-0.007,-0.01,0.182,0.024,0.33,3998.980922816787
30,-0.013,0.006,-0.017,0.004,0.081,0.028,0.347,3721.855790639369
31,0.002,0.009,-0.006,0.008,-0.279,0.035,-0.007,3486.1917089539056
32,-0.012,0.005,-0.015,-0.004,0.504,0.03,0.513,3234.6648732295725
33,0.01,0.003,-0.013,0.021,-0.513,0.05,-0.258,3085.779949176038
34,-0.003,0.016,-0.013,0.007,0.411,0.057,0.056,2814.3392231850594
35,0.002,0.001,-0.008,0.009,-0.192,0.063,-0.136,2810.2549050893867
36,-0.007,0.007,-0.004,-0.003,0.196,0.056,0.022,2786.4665419619996
37,-0.006,0.023,-0.004,-0.025,-0.09,0.024,-0.1,2762.650138811223
38,-0.005,0.002,-0.009,-0.004,-0.028,0.013,-0.164,2581.7366656044323
39,0.0,0.008,-0.012,0.01,0.67,0.018,0.312,2461.3184314616083
40,-0.001,0.004,-0.033,0.032,0.408,0.049,0.807,2626.950202881868
41,-0.01,0.003,-0.012,-0.003,-0.402,0.042,0.052,2699.5017084055
42,-0.01,0.003,-0.021,0.011,-0.037,0.05,0.027,2911.740300738951
43,-0.007,0.003,-0.01,0.003,-0.137,0.05,-0.092,3129.2467565147235
44,0.0,0.01,-0.001,0.0,0.15,0.048,0.024,3412.926510843885
45,0.0,0.002,-0.004,0.0,0.184,0.048,0.163,3631.9610477855604
46,-0.006,0.006,-0.008,-0.0,-0.288,0.047,-0.181,3797.2067296064342
47,-0.003,0.009,-0.014,0.01,-0.274,0.058,-0.399,4037.489579585701
48,0.0,0.004,-0.021,0.018,0.525,0.079,-0.074,4402.5083759147965
49,-0.014,0.001,-0.014,0.001,-0.153,0.082,-0.221,4537.443750557548
50,0.01,0.008,-0.007,0.011,0.036,0.095,-0.205,4745.983786873185
51,-0.001,0.002,-0.016,0.013,0.269,0.11,0.027,5117.320022289627
52,-0.009,0.005,-0.004,-0.012,-0.187,0.098,-0.185,5087.9837801793765
